"";"date";"price";"volume"
"594";"2009-05-12";5,761429;13067600
"595";"2009-05-13";5,378571;20459600
"596";"2009-05-14";5,297143;14255500
"597";"2009-05-15";5,5;16576000
"598";"2009-05-18";5,538571;12098100
"599";"2009-05-19";5,661429;13829900
"600";"2009-05-20";5,75;15792700
"601";"2009-05-21";5,587143;9964500
"602";"2009-05-22";5,542857;4261600
"603";"2009-05-26";5,727143;8136100
"604";"2009-05-27";5,561429;9294600
"605";"2009-05-28";5,505714;8086400
"606";"2009-05-29";5,631429;13692000
"607";"2009-06-01";5,848571;9718100
"608";"2009-06-02";5,881429;9578100
"609";"2009-06-03";5,785714;7412300
"610";"2009-06-04";5,815714;9455600
"611";"2009-06-05";5,598571;10232600
"612";"2009-06-08";5,544286;8421000
"613";"2009-06-09";5,572857;8010100
"614";"2009-06-10";5,408571;13949600
"615";"2009-06-11";5,391429;8565200
"616";"2009-06-12";5,405714;7498400
"617";"2009-06-15";5,451429;14079800
"618";"2009-06-16";5,404286;11970000
"619";"2009-06-17";5,771429;21534100
"620";"2009-06-18";5,901429;12373200
"621";"2009-06-19";5,941429;15915200
"622";"2009-06-22";5,792857;12356400
"623";"2009-06-23";5,652857;7968800
"624";"2009-06-24";5,655714;8351000
"625";"2009-06-25";5,872857;9097200
"626";"2009-06-26";5,767143;48461000
"627";"2009-06-29";5,885714;8628200
"628";"2009-06-30";5,905714;11391800
"629";"2009-07-01";5,802857;8613500
"630";"2009-07-02";5,702857;7030800
"631";"2009-07-06";5,682857;7912100
"632";"2009-07-07";5,542857;7216300
"633";"2009-07-08";5,528571;7617400
"634";"2009-07-09";5,707143;12084100
"635";"2009-07-10";5,724286;5254900
"636";"2009-07-13";6,027143;29690500
"637";"2009-07-14";6,185714;13967800
"638";"2009-07-15";6,344286;9424800
"639";"2009-07-16";6,304286;8621900
"640";"2009-07-17";6,305714;8306200
"641";"2009-07-20";6,402857;9681000
"642";"2009-07-21";6,397143;9128700
"643";"2009-07-22";6,468571;9833600
"644";"2009-07-23";6,637143;20060600
"645";"2009-07-24";6,028571;35719600
"646";"2009-07-27";5,957143;15504300
"647";"2009-07-28";6,048571;11682300
"648";"2009-07-29";6,1;8586900
"649";"2009-07-30";6,23;10226300
"650";"2009-07-31";6,277143;7630000
"651";"2009-08-03";6,424286;8444100
"652";"2009-08-04";6,311429;8518300
"653";"2009-08-05";6,33;6419700
"654";"2009-08-06";6,214286;7716100
"655";"2009-08-07";6,428571;9181200
"656";"2009-08-10";6,542857;7541800
"657";"2009-08-11";6,584286;5896100
"658";"2009-08-12";6,611429;6157200
"659";"2009-08-13";6,611429;5263300
"660";"2009-08-14";6,355714;7927500
"661";"2009-08-17";6,158571;6272000
"662";"2009-08-18";6,221429;4278400
"663";"2009-08-19";6,41;9780400
"664";"2009-08-20";6,425714;6836900
"665";"2009-08-21";6,442857;8526000
"666";"2009-08-24";6,331429;7900900
"667";"2009-08-25";6,351429;7168700
"668";"2009-08-26";6,281429;5680500
"669";"2009-08-27";6,25;9686600
"670";"2009-08-28";6,317143;7205100
"671";"2009-08-31";6,232857;5678400
"672";"2009-09-01";6,021429;10955000
"673";"2009-09-02";5,968571;6498100
"674";"2009-09-03";5,755714;19494300
"675";"2009-09-04";5,85;8542100
"676";"2009-09-08";5,925714;7308000
"677";"2009-09-09";6,175714;17747100
"678";"2009-09-10";6,214286;10404100
"679";"2009-09-11";6,094286;6797700
"680";"2009-09-14";6,182857;5656700
"681";"2009-09-15";6,424286;10293500
"682";"2009-09-16";6,685714;12653200
"683";"2009-09-17";6,634286;6533100
"684";"2009-09-18";6,771429;12318600
"685";"2009-09-21";6,785714;8175300
"686";"2009-09-22";6,818571;6386800
"687";"2009-09-23";6,692857;5079900
"688";"2009-09-24";6,66;3733800
"689";"2009-09-25";6,608571;4308500
"690";"2009-09-28";6,567143;9012500
"691";"2009-09-29";6,608571;9739800
"692";"2009-09-30";6,595714;6714400
"693";"2009-10-01";6,374286;8479800
"694";"2009-10-02";6,388571;5773600
"695";"2009-10-05";6,488571;8050000
"696";"2009-10-06";6,595714;6304900
"697";"2009-10-07";6,607143;3904600
"698";"2009-10-08";6,577143;6747300
"699";"2009-10-09";6,701429;4810400
"700";"2009-10-12";6,58;7390600
"701";"2009-10-13";6,641429;4514300
"702";"2009-10-14";6,867143;7655200
"703";"2009-10-15";7,192857;18520600
"704";"2009-10-16";6,998571;8269100
"705";"2009-10-19";7,114286;5580400
"706";"2009-10-20";6,994286;7756000
"707";"2009-10-21";6,835714;6847400
"708";"2009-10-22";7,09;8807400
"709";"2009-10-23";7,841429;50787800
"710";"2009-10-26";7,881429;11316200
"711";"2009-10-27";7,748571;9258900
"712";"2009-10-28";7,648571;11095000
"713";"2009-10-29";7,902857;9852500
"714";"2009-10-30";7,635714;9387700
"715";"2009-11-02";7,685714;5878600
"716";"2009-11-03";7,678571;10738000
"717";"2009-11-04";7,737143;7728000
"718";"2009-11-05";8,055714;13412700
"719";"2009-11-06";7,98;12005000
"720";"2009-11-09";8,171429;8535100
"721";"2009-11-10";8,342857;13188000
"722";"2009-11-11";8,491429;10472000
"723";"2009-11-12";8,312857;5187000
"724";"2009-11-13";8,475714;5477500
"725";"2009-11-16";8,494286;8026200
"726";"2009-11-17";8,678571;9716700
"727";"2009-11-18";8,732857;6591200
"728";"2009-11-19";8,608571;4040400
"729";"2009-11-20";8,567143;7789600
"730";"2009-11-23";8,625714;4853100
"731";"2009-11-24";8,524286;10400600
"732";"2009-11-25";8,46;7613900
"733";"2009-11-27";8,264286;5754700
"734";"2009-11-30";8,375714;9074800
"735";"2009-12-01";8,318571;13823600
"736";"2009-12-02";8,428571;9093700
"737";"2009-12-03";8,284286;8534400
"738";"2009-12-04";8,032857;11601800
"739";"2009-12-07";7,987143;9392600
"740";"2009-12-08";7,988571;7777700
"741";"2009-12-09";7,994286;5146400
"742";"2009-12-10";8,105714;5913600
"743";"2009-12-11";7,957143;5078500
"744";"2009-12-14";8,058571;4818800
"745";"2009-12-15";8,131429;5581800
"746";"2009-12-16";7,868571;17007200
"747";"2009-12-17";7,675714;10091200
"748";"2009-12-18";7,61;10441900
"749";"2009-12-21";7,708571;6855100
"750";"2009-12-22";7,658571;11729200
"751";"2009-12-23";8,121429;10452400
"752";"2009-12-24";8,127143;3035200
"753";"2009-12-28";8,191429;6006000
"754";"2009-12-29";8,14;4839100
