"";"title";"Awards"
"204";"Man on Wire";"1"
"205";"Toyland";"1"
"206";"La Maison en Petits Cubes";"1"
"207";"No Country for Old Men";"4"
"208";"The Bourne Ultimatum";"3"
"209";"There Will Be Blood";"2"
"210";"La Vie en rose";"2"
"211";"Atonement";"1"
"212";"Michael Clayton";"1"
"213";"Ratatouille";"1"
"214";"Juno";"1"
"215";"Sweeney Todd: The Demon Barber of Fleet Street";"1"
"216";"The Golden Compass";"1"
"217";"Elizabeth: The Golden Age";"1"
"218";"Taxi to the Dark Side";"1"
"219";"Peter & the Wolf";"1"
"220";"Once";"1"
"221";"Le Mozart des pickpockets";"1"
"222";"The Counterfeiters (Die Fälscher)";"1"
"223";"Freeheld";"1"
"224";"The Departed";"4"
"225";"Pan's Labyrinth (El laberinto del fauno)";"3"
"226";"Dreamgirls";"2"
"227";"Little Miss Sunshine";"2"
"228";"An Inconvenient Truth";"2"
"229";"Babel";"1"
"230";"The Queen";"1"
"231";"Letters from Iwo Jima";"1"
"232";"Pirates of the Caribbean: Dead Man's Chest";"1"
"233";"The Danish Poet";"1"
"234";"Happy Feet";"1"
"235";"The Last King of Scotland";"1"
"236";"The Lives of Others (Das Leben der Anderen)";"1"
"237";"Marie Antoinette";"1"
"238";"West Bank Story";"1"
"239";"The Blood of Yingzhou District";"1"
"240";"Crash";"3"
"241";"Brokeback Mountain";"3"
"242";"Memoirs of a Geisha";"3"
"243";"King Kong";"3"
"244";"Capote";"1"
"245";"Walk the Line";"1"
"246";"The Constant Gardener";"1"
"247";"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe";"1"
"248";"Hustle & Flow";"1"
"249";"Syriana";"1"
"250";"March of the Penguins (La Marche de l'empereur)";"1"
"251";"Six Shooter";"1"
"252";"The Moon and the Son: An Imagined Conversation";"1"
"253";"A Note of Triumph: The Golden Age of Norman Corwin";"1"
"254";"Tsotsi";"1"
"255";"Wallace & Gromit: The Curse of the Were-Rabbit";"1"
"256";"Million Dollar Baby";"4"
"257";"The Aviator";"5"
"258";"Ray";"2"
"259";"The Incredibles";"2"
"260";"Finding Neverland";"1"
"261";"Sideways";"1"
"262";"Lemony Snicket's A Series of Unfortunate Events";"1"
"263";"Spider-Man 2";"1"
"264";"Eternal Sunshine of the Spotless Mind";"1"
"265";"The Motorcycle Diaries";"1"
"266";"The Sea Inside";"1"
"267";"Born into Brothels";"1"
"268";"Mighty Times: The Children's March";"1"
"269";"Wasp";"1"
"270";"Ryan";"1"
"271";"The Lord of the Rings: The Return of the King";"11"
"272";"Master and Commander: The Far Side of the World";"2"
"273";"Mystic River";"2"
"274";"Cold Mountain";"1"
"275";"Lost in Translation";"1"
"276";"Finding Nemo";"1"
"277";"The Barbarian Invasions";"1"
"278";"Two Soldiers";"1"
"279";"Monster";"1"
"280";"Harvie Krumpet";"1"
"281";"Chernobyl Heart";"1"
"282";"The Fog of War";"1"
"283";"Chicago";"6"
"284";"The Pianist";"3"
"285";"The Lord of the Rings: The Two Towers";"2"
"286";"Frida";"2"
"287";"The Hours";"1"
"288";"Road to Perdition";"1"
"289";"Adaptation";"1"
"290";"Talk to Her (Hable con ella)";"1"
"291";"This Charming Man (Der Er En Yndig Mand)";"1"
"292";"Spirited Away";"1"
"293";"Nowhere in Africa (Nirgendwo in Afrika)";"1"
"294";"The ChubbChubbs!";"1"
"295";"Twin Towers";"1"
"296";"Bowling for Columbine";"1"
"297";"8 Mile";"1"
"298";"A Beautiful Mind";"4"
"299";"The Lord of the Rings: The Fellowship of the Ring";"4"
"300";"Moulin Rouge!";"2"
"301";"Black Hawk Down";"2"
"302";"Gosford Park";"1"
"303";"Monsters, Inc.";"1"
"304";"Pearl Harbor";"1"
"305";"Iris";"1"
"306";"Shrek";"1"
"307";"Training Day";"1"
"308";"Monster's Ball";"1"
"309";"Thoth";"1"
"310";"For the Birds";"1"
"311";"No Man's Land";"1"
"312";"Murder on a Sunday Morning (Un coupable idéal)";"1"
"313";"The Accountant";"1"
"314";"Gladiator";"5"
"315";"Crouching Tiger, Hidden Dragon";"4"
"316";"Traffic";"4"
"317";"Erin Brockovich";"1"
"318";"Almost Famous";"1"
"319";"Wonder Boys";"1"
"320";"How the Grinch Stole Christmas";"1"
"321";"U-571";"1"
"322";"Pollock";"1"
"323";"Father and Daughter";"1"
"324";"Into the Arms of Strangers: Stories of the Kindertransport";"1"
"325";"Quiero ser (I want to be...)";"1"
"326";"Big Mama";"1"
"327";"American Beauty";"5"
"328";"The Matrix";"4"
"329";"The Cider House Rules";"2"
"330";"Topsy-Turvy";"2"
"331";"Sleepy Hollow";"1"
"332";"Boys Don't Cry";"1"
"333";"Tarzan";"1"
"334";"One Day in September";"1"
"335";"The Red Violin (Le violon rouge)";"1"
"336";"The Old Man and the Sea";"1"
"337";"My Mother Dreams the Satan's Disciples in New York";"1"
"338";"King Gimp";"1"
"339";"Girl, Interrupted";"1"
"340";"All About My Mother (Todo sobre mi madre)";"1"
"341";"Shakespeare in Love";"7"
"342";"Saving Private Ryan";"5"
"343";"Life Is Beautiful (La vita è bella)";"3"
"344";"Elizabeth";"1"
"345";"Gods and Monsters";"1"
"346";"The Prince of Egypt";"1"
"347";"Affliction";"1"
"348";"What Dreams May Come";"1"
"349";"The Personals";"1"
"350";"The Last Days";"1"
"351";"Election Night (Valgaften)";"1"
"352";"Bunny";"1"
"353";"Titanic";"11"
"354";"Good Will Hunting";"2"
"355";"L.A. Confidential";"2"
"356";"As Good as It Gets";"2"
"357";"The Full Monty";"1"
"358";"Men in Black";"1"
"359";"Visas and Virtue";"1"
"360";"Character (Karakter)";"1"
"361";"Geri's Game";"1"
"362";"A Story of Healing";"1"
"363";"The Long Way Home";"1"
"364";"The English Patient";"9"
"365";"Fargo";"2"
"366";"Shine";"1"
"367";"Evita";"1"
"368";"Jerry Maguire";"1"
"369";"Independence Day";"1"
"370";"Emma";"1"
"371";"Sling Blade";"1"
"372";"The Ghost and the Darkness";"1"
"373";"Kolya";"1"
"374";"The Nutty Professor";"1"
"375";"Quest";"1"
"376";"When We Were Kings";"1"
"377";"Breathing Lessons: The Life and Work of Mark O'Brien";"1"
"378";"Dear Diary";"1"
"379";"Braveheart";"5"
"380";"Apollo 13";"2"
"381";"Pocahontas";"2"
"382";"The Usual Suspects";"2"
"383";"Restoration";"2"
"384";"Babe";"1"
"385";"Sense and Sensibility";"1"
"386";"Il Postino: The Postman";"1"
"387";"Dead Man Walking";"1"
"388";"Leaving Las Vegas";"1"
"389";"Mighty Aphrodite";"1"
"390";"Anne Frank Remembered";"1"
"391";"A Close Shave";"1"
"392";"Lieberman in Love";"1"
"393";"One Survivor Remembers";"1"
"394";"Antonia's Line (Antonia)";"1"
"395";"Toy Story";"0 (1)"
"396";"Forrest Gump";"6"
"397";"The Lion King";"2"
"398";"Speed";"2"
"399";"Ed Wood";"2"
"400";"Pulp Fiction";"1"
"401";"Bullets Over Broadway";"1"
"402";"The Madness of King George";"1"
"403";"Legends of the Fall";"1"
"404";"A Time for Justice";"1"
"405";"Franz Kafka's It's a Wonderful Life";"1"
"406";"Maya Lin: A Strong Clear Vision";"1"
"407";"Burnt by the Sun (Utomlyonnye solntsem)";"1"
"408";"Trevor";"1"
"409";"The Adventures of Priscilla, Queen of the Desert";"1"
"410";"Bob's Birthday";"1"
"411";"Blue Sky";"1"
"412";"Schindler's List";"7"
"413";"The Piano";"3"
"414";"Jurassic Park";"3"
"415";"Philadelphia";"2"
"416";"The Fugitive";"1"
"417";"The Age of Innocence";"1"
"418";"The Wrong Trousers";"1"
"419";"Belle Epoque (The Beautiful Era)";"1"
"420";"I Am a Promise: The Children of Stanton Elementary School";"1"
"421";"Mrs. Doubtfire";"1"
"422";"Black Rider (Schwarzfahrer)";"1"
"423";"Defending Our Lives";"1"
"424";"Unforgiven";"4"
"425";"Howards End";"3"
"426";"Bram Stoker's Dracula";"3"
"427";"Aladdin";"2"
"428";"The Crying Game";"1"
"429";"Scent of a Woman";"1"
"430";"A River Runs Through It";"1"
"431";"Indochine";"1"
"432";"My Cousin Vinny";"1"
"433";"The Panama Deception";"1"
"434";"Educating Peter";"1"
"435";"The Last of the Mohicans";"1"
"436";"Death Becomes Her";"1"
"437";"Omnibus";"1"
"438";"Mona Lisa Descending a Staircase";"1"
"439";"The Silence of the Lambs";"5"
"440";"Terminator 2: Judgment Day";"4"
"441";"Bugsy";"2"
"442";"JFK";"2"
"443";"Beauty and the Beast";"2"
"444";"Thelma & Louise";"1"
"445";"The Fisher King";"1"
"446";"In the Shadow of the Stars";"1"
"447";"Manipulation";"1"
"448";"Mediterraneo";"1"
"449";"Session Man";"1"
"450";"City Slickers";"1"
"451";"Deadly Deception: General Electric, Nuclear Weapons and Our Environment";"1"
"452";"Dances with Wolves";"7"
"453";"Dick Tracy";"3"
"454";"Ghost";"2"
"455";"Goodfellas";"1"
"456";"The Hunt for Red October";"1"
