"";"title";"Awards"
"804";"To Be Alive!";"1"
"805";"7 Faces of Dr. Lao";"0 (1)"
"806";"7th Heaven";"3"
"807";"20,000 Leagues Under the Sea";"2"
"808";"Adventures of Don Juan";"1"
"809";"The Adventures of Robin Hood";"3"
"810";"The African Queen";"1"
"811";"Air Force";"1"
"812";"The Alamo";"1"
"813";"The Alaskan Eskimo";"1"
"814";"Albert Schweitzer";"1"
"815";"Alexander's Ragtime Band";"1"
"816";"All About Eve";"6"
"817";"All Quiet on the Western Front";"2"
"818";"All That Money Can Buy";"1"
"819";"All the King's Men";"3"
"820";"Ama Girls";"1"
"821";"America America";"1"
"822";"An American in Paris";"6"
"823";"Amphibious Fighters";"1"
"824";"Anastasia";"1"
"825";"Anchors Aweigh";"1"
"826";"Anna and the King of Siam";"2"
"827";"Annie Get Your Gun";"1"
"828";"Anthony Adverse";"4"
"829";"The Apartment";"5"
"830";"Aquatic House Party";"1"
"831";"Arise, My Love";"1"
"832";"Around the World in 80 Days";"5"
"833";"The Awful Truth";"1"
"834";"The Bachelor and the Bobby-Soxer";"1"
"835";"The Bad and the Beautiful";"5"
"836";"Bad Girl";"2"
"837";"The Barefoot Contessa";"1"
"838";"The Battle of Midway";"1"
"839";"Battleground";"2"
"840";"Bear Country";"1"
"841";"Becket";"1"
"842";"The Bells of St. Mary's";"1"
"843";"Ben-Hur";"11"
"844";"Benjy";"1"
"845";"The Bespoke Overcoat";"1"
"846";"The Best Years of Our Lives";"7 (1)"
"847";"Beyond the Line of Duty";"1"
"848";"Bicycle Thieves";"0 (1)"
"849";"The Big Broadcast of 1938";"1"
"850";"The Big Country";"1"
"851";"The Big House";"2"
"852";"Bill and Coo";"0 (1)"
"853";"Birds Anonymous";"1"
"854";"The Bishop's Wife";"1"
"855";"Black Fox: The Rise and Fall of Adolf Hitler (The Black Fox)";"1"
"856";"Black Narcissus";"2"
"857";"Black Orpheus (Orfeu Negro)";"1"
"858";"The Black Swan";"1"
"859";"Blithe Spirit";"1"
"860";"Blood and Sand";"1"
"861";"Blood on the Sun";"1"
"862";"Blossoms in the Dust";"1"
"863";"Body and Soul";"1"
"864";"Bored of Education";"1"
"865";"Born Yesterday";"1"
"866";"A Boy and His Dog";"1"
"867";"Boys Town";"2"
"868";"The Brave One";"1"
"869";"Breakfast at Tiffany's";"2"
"870";"Breaking the Sound Barrier";"1"
"871";"The Bridge of San Luis Rey";"1"
"872";"The Bridge on the River Kwai";"7"
"873";"The Bridges at Toko-Ri";"1"
"874";"Broadway Melody of 1936";"1"
"875";"The Broadway Melody";"1"
"876";"Broken Lance";"1"
"877";"Busy Little Bears";"1"
"878";"BUtterfield 8";"1"
"879";"Calamity Jane";"1"
"880";"Call Me Madam";"1"
"881";"Captain Carey, U.S.A.";"1"
"882";"Captains Courageous";"1"
"883";"Casablanca";"3"
"884";"Casals Conducts: 1964";"1"
"885";"The Cat Concerto";"1"
"886";"Cavalcade";"3"
"887";"Chagall";"1"
"888";"The Champ";"2"
"889";"Champion";"1"
"890";"A Chance to Live";"1"
"891";"The Charge of the Light Brigade";"1"
"892";"The Chicken (Le Poulet)";"1"
"893";"Churchill's Island";"1"
"894";"Cimarron";"3"
"895";"The Circus";"0 (1)"
"896";"Citizen Kane";"1"
"897";"City of Wax";"1"
"898";"Cleopatra";"1"
"899";"Cleopatra";"4"
"900";"Climbing the Matterhorn";"1"
"901";"Come and Get It";"1"
"902";"Come Back, Little Sheba";"1"
"903";"Coquette";"1"
"904";"The Country Cousin";"1"
"905";"The Country Girl";"2"
"906";"Cover Girl";"1"
"907";"The Cowboy and the Lady";"1"
"908";"Crash Dive";"1"
"909";"Crashing the Water Barrier";"1"
"910";"The Critic";"1"
"911";"La Cucaracha";"1"
"912";"Cyrano de Bergerac";"1"
"913";"A Damsel in Distress";"1"
"914";"Dangerous";"1"
"915";"The Dark Angel";"1"
"916";"The Dawn Patrol";"1"
"917";"Day of the Painter";"1"
"918";"Daybreak in Udi";"1"
"919";"Days of Wine and Roses";"1"
"920";"December 7th";"1"
"921";"Declaration of Independence";"1"
"922";"The Defiant Ones";"2"
"923";"Der Fuehrer's Face";"1"
"924";"Desert Victory";"1"
"925";"Design for Death";"1"
"926";"Designing Woman";"1"
"927";"Destination Moon";"1"
"928";"The Diary of Anne Frank";"3"
"929";"Disraeli";"1"
"930";"The Divine Lady";"1"
"931";"Divorce Italian Style";"1"
"932";"The Divorcee";"1"
"933";"Dodsworth";"1"
"934";"The Dot and the Line (The Dot and the Line: A Romance in Lower Mathematics)";"1"
"935";"A Double Life";"2"
"936";"The Dove";"1"
"937";"Dr. Jekyll and Mr. Hyde";"1"
"938";"Dumbo";"1"
"939";"Dylan Thomas";"1"
"940";"East of Eden";"1"
"941";"Easter Parade";"1"
"942";"Elmer Gantry";"3"
"943";"The Enemy Below";"1"
"944";"Eskimo";"1"
"945";"Exodus";"1"
"946";"The Face of Lincoln";"1"
"947";"Facing Your Danger";"1"
"948";"The Facts of Life";"1"
"949";"Fantasia";"0 (2)"
"950";"A Farewell to Arms";"2"
"951";"The Farmer's Daughter";"1"
"952";"Father Goose";"1"
"953";"Federico Fellini's 8½";"2"
"954";"Ferdinand the Bull";"1"
"955";"The Fighting Lady";"1"
"956";"First Steps";"1"
"957";"Flowers and Trees";"1"
"958";"Folies Bergere";"1"
"959";"For Scent-imental Reasons";"1"
"960";"For Whom the Bell Tolls";"1"
"961";"Forbidden Games";"0 (1)"
"962";"A Force in Readiness";"0 (1)"
"963";"A Free Soul";"1"
"964";"Frenchman's Creek";"1"
"965";"From Here to Eternity";"8"
"966";"The Garden of Allah";"0 (1)"
"967";"Gaslight";"2"
"968";"Gate of Hell (Jigokumon)";"1 (1)"
"969";"The Gay Divorcee";"1"
"970";"Gentleman's Agreement";"3"
"971";"Gerald McBoing-Boing";"1"
"972";"Giant";"1"
"973";"Gigi";"9"
"974";"Giuseppina";"1"
"975";"Give Me Liberty";"1"
"976";"Glass (Glas)";"1"
"977";"The Glenn Miller Story";"1"
"978";"Going My Way";"7"
"979";"Gold Diggers of 1935";"1"
"980";"The Golden Fish (Histoire d'un poisson rouge)";"1"
"981";"Goldfinger";"1"
"982";"Gone with the Wind";"8 (2)"
"983";"The Good Earth";"2"
"984";"Goodbye, Miss Turlock";"1"
"985";"Goodbye, Mr. Chips";"1"
"986";"Grand Canyon";"1"
"987";"Grand Hotel";"1"
"988";"Grandad of Races";"1"
"989";"The Grapes of Wrath";"2"
"990";"The Great Caruso";"1"
"991";"Great Expectations";"2"
"992";"The Great Lie";"1"
"993";"The Great McGinty";"1"
"994";"The Great Waltz";"1"
"995";"The Great Ziegfeld";"3"
"996";"The Greatest Show on Earth";"2"
"997";"Green Dolphin Street";"1"
"998";"The Guns of Navarone";"1"
"999";"Hamlet";"4"
"1000";"Happy Anniversary (Heureux Anniversaire)";"1"
"1001";"Harvey";"1"
"1002";"The Harvey Girls";"1"
"1003";"Heavenly Music";"1"
"1004";"The Heiress";"4"
"1005";"Helen Keller in Her Story (The Unconquered)";"1"
"1006";"Hello, Frisco, Hello";"1"
"1007";"Henry V";"0 (1)"
"1008";"Here Comes Mr. Jordan";"2"
"1009";"Here Comes the Groom";"1"
"1010";"The High and the Mighty";"1"
"1011";"High Noon";"4"
"1012";"Hitler Lives";"1"
"1013";"A Hole in the Head";"1"
"1014";"The Hole";"1"
"1015";"Holiday Inn";"1"
"1016";"The Horse with the Flying Tail";"1"
"1017";"The House I Live In";"0 (1)"
"1018";"The House on 92nd Street";"1"
"1019";"How Green Was My Valley";"5"
"1020";"How the West Was Won";"3"
"1021";"How to Sleep";"1"
"1022";"Hud";"3"
"1023";"The Human Comedy";"1"
"1024";"The Hurricane";"1"
"1025";"The Hustler";"2"
"1026";"I Want to Live!";"1"
"1027";"I Wanted Wings";"1"
"1028";"I Won't Play";"1"
"1029";"I'll Cry Tomorrow";"1"
"1030";"In Beaver Valley";"1"
"1031";"In Old Arizona";"1"
"1032";"In Old Chicago";"2"
"1033";"In Which We Serve";"0 (1)"
"1034";"The Informer";"4"
"1035";"Interrupted Melody";"1"
"1036";"The Invaders";"1"
"1037";"Irma la Douce";"1"
"1038";"It Happened One Night";"5"
"1039";"It's a Mad, Mad, Mad, Mad World";"1"
"1040";"The Jazz Singer";"0 (1)"
"1041";"Jezebel";"2"
"1042";"Joan of Arc";"2 (1)"
"1043";"Johann Mouse";"1"
"1044";"Johnny Belinda";"1"
"1045";"Johnny Eager";"1"
"1046";"The Joker Is Wild";"1"
"1047";"The Jolson Story";"2"
"1048";"Judgment at Nuremberg";"2"
"1049";"Julius Caesar";"1"
"1050";"Kentucky";"1"
"1051";"Key Largo";"1"
"1052";"The King and I";"5"
"1053";"King of Jazz";"1"
"1054";"King Solomon's Mines";"2"
"1055";"Kitty Foyle (Kitty Foyle: The Natural History of a Woman)";"1"
"1056";"Knighty Knight Bugs";"1"
"1057";"Kokoda Front Line!";"1"
"1058";"Kon-Tiki";"1"
"1059";"Krakatoa";"1"
"1060";"Kukan";"0 (1)"
"1061";"La Strada (The Road)";"1"
"1062";"La Dolce Vita";"1"
"1063";"Lady Be Good";"1"
"1064";"The Last Command";"1"
"1065";"Laura";"1"
"1066";"The Lavender Hill Mob";"1"
"1067";"Lawrence of Arabia";"7"
"1068";"Leave Her to Heaven";"1"
"1069";"Lend a Paw";"1"
"1070";"Les Girls";"1"
"1071";"A Letter to Three Wives";"2"
"1072";"The Life of Emile Zola";"3"
"1073";"Light in the Window";"1"
"1074";"Lili";"1"
"1075";"Lilies of the Field";"1"
"1076";"The Little Kidnappers (The Kidnappers)";"0 (2)"
"1077";"The Little Orphan";"1"
"1078";"Little Women";"1"
"1079";"Little Women";"1"
"1080";"The Lives of a Bengal Lancer";"1"
"1081";"The Living Desert";"1"
"1082";"The Longest Day";"2"
"1083";"Lost Horizon";"2"
"1084";"The Lost Weekend";"4"
"1085";"Love Is a Many-Splendored Thing";"3"
"1086";"Love Me or Leave Me";"1"
"1087";"Lust for Life";"1"
"1088";"Magoo's Puddle Jumper";"1"
"1089";"Main Street on the March!";"1"
"1090";"The Man Who Knew Too Much";"1"
"1091";"Manhattan Melodrama";"1"
"1092";"Marie-Louise";"1"
"1093";"Marty";"4"
"1094";"Mary Poppins";"5"
"1095";"Men Against the Arctic";"1"
"1096";"The Merry Widow";"1"
"1097";"A Midsummer Night's Dream";"2"
"1098";"Mighty Joe Young";"1"
"1099";"Mildred Pierce";"1"
"1100";"The Milky Way";"1"
"1101";"Min and Bill";"1"
"1102";"Miracle on 34th Street";"3"
"1103";"The Miracle Worker";"2"
"1104";"Mister Roberts";"1"
"1105";"Monsieur Vincent";"0 (1)"
"1106";"Moonbird";"1"
"1107";"The More the Merrier";"1"
"1108";"Morning Glory";"1"
"1109";"Moscow Strikes Back";"1"
"1110";"Mother Wore Tights";"1"
"1111";"Moulin Rouge";"2"
"1112";"Mouse Trouble";"1"
"1113";"Mr. Deeds Goes to Town";"1"
"1114";"Mr. Smith Goes to Washington";"1"
"1115";"Mrs. Miniver";"6"
"1116";"Munro";"1"
"1117";"The Music Box";"1"
"1118";"The Music Man";"1"
"1119";"Mutiny on the Bounty";"1"
"1120";"My Fair Lady";"8"
"1121";"My Uncle (Mon oncle)";"1"
"1122";"My Gal Sal";"1"
"1123";"The Naked City";"2"
"1124";"National Velvet";"2"
"1125";"Nature's Half Acre";"1"
"1126";"Naughty Marietta";"1"
"1127";"Neighbours";"1"
"1128";"Neptune's Daughter";"1"
"1129";"Never on Sunday (Pote tin Kyriaki)";"1"
"1130";"The Night of the Iguana";"1"
"1131";"Nights of Cabiria (Le Notti di Cabiria)";"1"
"1132";"Nine from Little Rock";"1"
"1133";"None But the Lonely Heart";"1"
"1134";"North West Mounted Police";"1"
"1135";"Now, Voyager";"1"
"1136";"An Occurrence at Owl Creek Bridge";"1"
"1137";"Of Pups and Puzzles";"1"
"1138";"Oklahoma!";"2"
"1139";"The Old Man and the Sea";"1"
"1140";"The Old Mill";"1"
"1141";"On the Town";"1"
"1142";"On the Waterfront";"8"
"1143";"One Hundred Men and a Girl";"1"
"1144";"One Night of Love";"2"
"1145";"One Way Passage";"1"
"1146";"Overture to The Merry Wives of Windsor";"1"
"1147";"The Paleface";"1"
"1148";"Panic in the Streets";"1"
"1149";"Papa's Delicate Condition";"1"
"1150";"The Patriot";"1"
"1151";"Penny Wisdom";"1"
"1152";"Phantom of the Opera";"2"
"1153";"The Philadelphia Story";"2"
"1154";"Picnic";"2"
"1155";"The Picture of Dorian Gray";"1"
"1156";"Pillow Talk";"1"
"1157";"The Pink Phink";"1"
"1158";"Pinocchio";"2"
"1159";"A Place in the Sun";"6"
"1160";"Plymouth Adventure";"1"
"1161";"Pollyanna";"0 (1)"
"1162";"Porgy and Bess";"1"
"1163";"Portrait of Jennie";"1"
"1164";"Prelude to War";"1"
"1165";"Pride and Prejudice";"1"
"1166";"The Pride of the Yankees";"1"
"1167";"Princess O'Rourke";"1"
"1168";"The Private Life of Henry VIII";"1"
"1169";"The Private Life of the Gannets";"1"
"1170";"Project Hope";"1"
"1171";"The Public Pays";"1"
"1172";"Pygmalion";"1"
"1173";"Quicker'n a Wink";"1"
"1174";"The Quiet Man";"2"
"1175";"Quiet Please!";"1"
"1176";"The Rains Came";"1"
"1177";"Rashomon";"0 (1)"
"1178";"The Razor's Edge";"1"
"1179";"Reap the Wild Wind";"1"
"1180";"Rebecca";"2"
"1181";"The Red Balloon (Le ballon rouge)";"1"
"1182";"The Red Shoes";"2"
"1183";"The Robe";"2"
"1184";"Robert Frost: A Lover's Quarrel with the World";"1"
"1185";"Roman Holiday";"3"
"1186";"Room at the Top";"2"
"1187";"The Rose Tattoo";"3"
"1188";"Sabrina";"1"
"1189";"Samson and Delilah";"2"
"1190";"Samurai I: Musashi Miyamoto (Miyamoto Musashi)";"0 (1)"
"1191";"San Francisco";"1"
"1192";"Sayonara";"4"
"1193";"The Scoundrel";"1"
"1194";"The Sea Around Us";"1"
"1195";"Seal Island";"1"
"1196";"The Search";"1 (1)"
"1197";"Seawards the Great Ships";"1"
"1198";"The Secret Land";"1"
"1199";"Seeds of Destiny";"1"
"1200";"Separate Tables";"2"
"1201";"Serengeti Shall Not Die (Serengeti darf nicht sterben)";"1"
"1202";"Sergeant York";"2"
"1203";"Seven Brides for Seven Brothers";"1"
"1204";"Seven Days to Noon";"1"
"1205";"The Seventh Veil";"1"
"1206";"Shane";"1"
"1207";"Shanghai Express";"1"
"1208";"She Wore a Yellow Ribbon";"1"
"1209";"Shoeshine (Sciuscià)";"0 (1)"
"1210";"The Silent World (Le Monde du silence)";"1"
"1211";"The Sin of Madelon Claudet";"1"
"1212";"Since You Went Away";"1"
"1213";"Skippy";"1"
"1214";"Sky Above and Mud Beneath (Le Ciel et la boue)";"1"
"1215";"The Snake Pit";"1"
"1216";"Snow White and the Seven Dwarfs";"0 (1)"
"1217";"So Much for So Little";"1"
"1218";"So This Is Harris!";"1"
"1219";"The Solid Gold Cadillac";"1"
"1220";"Some Like It Hot";"1"
"1221";"Somebody Up There Likes Me";"2"
"1222";"The Song of Bernadette";"4"
"1223";"Song of the South";"1 (1)"
"1224";"Song Without End";"1"
"1225";"Sons and Lovers";"1"
"1226";"Sons of Liberty";"1"
"1227";"South Pacific";"1"
"1228";"Spartacus";"4"
"1229";"Spawn of the North";"0 (1)"
"1230";"Speaking of Animals and Their Families";"1"
"1231";"Speedy Gonzales";"1"
"1232";"Spellbound";"1"
"1233";"Splendor in the Grass";"1"
"1234";"Stagecoach";"2"
"1235";"Stairway to Light";"1"
"1236";"Stalag 17";"1"
"1237";"Star in the Night";"1"
"1238";"A Star Is Born";"1 (1)"
"1239";"State Fair";"1"
"1240";"The Story of Louis Pasteur";"3"
"1241";"The Stratton Story";"1"
"1242";"Street Angel";"1"
"1243";"A Streetcar Named Desire";"4"
"1244";"Strike Up the Band";"1"
"1245";"The Substitute";"1"
"1246";"Sundays and Cybele (Le Dimanches de Ville d'Avray)";"1"
"1247";"Sunrise";"3"
"1248";"Sunset Boulevard";"3"
"1249";"Survival City";"1"
"1250";"Suspicion";"1"
"1251";"Sweet Bird of Youth";"1"
"1252";"Sweethearts";"0 (1)"
"1253";"Swing Time";"1"
"1254";"Symphony of a City";"1"
"1255";"Tabu";"1"
"1256";"Target for Tonight";"0 (1)"
"1257";"Teddy, the Rough Rider";"1"
"1258";"Tempest";"1"
"1259";"The Ten Commandments";"1"
"1260";"That Hamilton Woman";"1"
"1261";"That Mothers Might Live";"1"
"1262";"The Thief of Bagdad";"3"
"1263";"The Third Man";"1"
"1264";"Thirty Seconds Over Tokyo";"1"
"1265";"This Above All";"1"
"1266";"This Is the Army";"1"
"1267";"This Land Is Mine";"1"
"1268";"This Mechanical Age";"1"
"1269";"Three Coins in the Fountain";"2"
"1270";"The Three Faces of Eve";"1"
"1271";"Three Little Pigs";"1"
"1272";"Three Orphan Kittens";"1"
"1273";"Through a Glass Darkly (Såsom i en spegel)";"1"
"1274";"Thunderball";"1"
"1275";"Thursday's Children";"1"
"1276";"The Time Machine";"1"
"1277";"A Time Out of War";"1"
"1278";"Tin Pan Alley";"1"
"1279";"The Titan: Story of Michelangelo";"1"
"1280";"Titanic";"1"
"1281";"To Catch a Thief";"1"
"1282";"To Each His Own";"1"
"1283";"To Kill a Mockingbird";"3"
"1284";"Tom Jones";"4"
"1285";"tom thumb";"1"
"1286";"Toot, Whistle, Plunk and Boom";"1"
"1287";"Topkapi";"1"
"1288";"The Tortoise and the Hare";"1"
"1289";"Torture Money";"1"
"1290";"Toward Independence";"1"
"1291";"Transatlantic";"1"
"1292";"The Treasure of the Sierra Madre";"3"
"1293";"A Tree Grows in Brooklyn";"1"
"1294";"The True Glory";"1"
"1295";"The True Story of the Civil War";"1"
"1296";"Tweetie Pie";"1"
"1297";"Twelve O'Clock High";"2"
"1298";"Two Arabian Knights";"1"
"1299";"The Two Mouseketeers";"1"
"1300";"Two Women (La Ciociara)";"1"
"1301";"The Ugly Duckling";"1"
"1302";"Underworld";"1"
"1303";"The V.I.P.s";"1"
"1304";"Vacation from Marriage (UK title Perfect Strangers)";"1"
"1305";"Van Gogh";"1"
"1306";"The Vanishing Prairie";"1"
"1307";"The Virgin Spring (Jungfrukällan)";"1"
"1308";"Viva Villa!";"1"
"1309";"Viva Zapata!";"1"
"1310";"Waikiki Wedding";"1"
"1311";"The Walls of Malapaga";"0 (1)"
"1312";"The War of the Worlds";"1"
"1313";"Watch on the Rhine";"1"
"1314";"Water Birds";"1"
"1315";"The Way of All Flesh";"1"
"1316";"West Side Story";"10"
"1317";"The Westerner";"1"
"1318";"The Wetback Hound";"1"
"1319";"What Ever Happened to Baby Jane?";"1"
"1320";"When Tomorrow Comes";"1"
"1321";"When Magoo Flew";"1"
"1322";"When Worlds Collide";"1"
"1323";"White Shadows in the South Seas";"1"
"1324";"White Wilderness";"1"
"1325";"Who's Who in Animal Land";"1"
"1326";"Why Korea?";"1"
"1327";"Wilson";"5"
"1328";"Wings";"2"
"1329";"Wings Over Everest";"1"
"1330";"With a Song in My Heart";"1"
"1331";"With Byrd at the South Pole";"1"
"1332";"With the Marines at Tarawa";"1"
"1333";"The Wizard of Oz";"2"
"1334";"Woman of the Year";"1"
"1335";"Wonder Man";"1"
"1336";"The Wonderful World of the Brothers Grimm";"1"
"1337";"World of Kids";"1"
"1338";"World Without Sun (Le Monde sans soleil)";"1"
"1339";"Wrestling Swordfish";"1"
"1340";"Written on the Wind";"1"
"1341";"Wuthering Heights";"1"
"1342";"Yankee Doodle Dandy";"3"
"1343";"The Yankee Doodle Mouse";"1"
"1344";"The Yearling";"2"
"1345";"Yesterday, Today and Tomorrow (Ieri, oggi, domani)";"1"
"1346";"You Can't Take It with You";"2"
"1347";"Zorba the Greek (Alexis Zorbas)";"3"
